CarCompany,AccidentArea,OwnerGender,OwnerAge,Fault,CarCategory,CarPrice,IsFraud,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,BasePolicy,IsAddressChanged,PastNumberOfClaims
Chevrolet,Urban,Male,30,Policy Holder,Sedan,26977,1,No,No,External,7,All Perils,No,1
Toyota,Urban,Female,30,Policy Holder,Sedan,21262,1,No,No,External,0,All Perils,No,1
Honda,Rural,Male,28,Policy Holder,Sedan,28321,1,No,No,External,0,Collision,No,4
Pontiac,Urban,Female,28,Policy Holder,Sport,31260,1,No,No,External,7,Liability,No,5
Pontiac,Urban,Male,44,Policy Holder,Sedan,26861,1,No,No,External,3,Collision,No,4
Toyota,Urban,Male,57,Policy Holder,Sedan,23681,1,No,No,External,0,Collision,No,0
Toyota,Urban,Male,35,Policy Holder,Sedan,24487,1,No,No,External,0,Collision,No,0
Mazda,Urban,Female,44,Policy Holder,Sedan,20532,1,No,No,External,1,All Perils,No,0
Honda,Urban,Male,41,Policy Holder,Sedan,35569,1,No,No,External,0,Collision,No,2
Chevrolet,Urban,Male,31,Policy Holder,Sedan,25256,1,No,No,External,0,All Perils,No,1
Chevrolet,Urban,Male,26,Policy Holder,Sedan,23175,1,No,No,External,3,All Perils,No,0
Pontiac,Urban,Female,35,Policy Holder,Sedan,16148,1,No,No,External,7,All Perils,No,1
Pontiac,Rural,Male,26,Policy Holder,Sedan,48314,1,No,No,External,0,All Perils,No,0
Toyota,Rural,Male,63,Policy Holder,Sedan,22068,1,No,No,External,1,All Perils,No,0
Mazda,Rural,Male,33,Policy Holder,Sedan,22049,1,No,No,External,0,All Perils,No,1
Ford,Rural,Male,32,Policy Holder,Sedan,28719,1,No,No,External,0,All Perils,No,0
Honda,Urban,Male,29,Policy Holder,Sedan,25807,1,No,No,External,6,All Perils,No,1
Ford,Rural,Male,67,Policy Holder,Sedan,48303,1,No,No,External,1,Collision,No,2
Pontiac,Urban,Female,28,Policy Holder,Sport,38352,1,No,No,External,6,Liability,No,6
Toyota,Urban,Male,27,Policy Holder,Sedan,21245,1,No,No,External,0,All Perils,No,0
Pontiac,Urban,Female,53,Policy Holder,Sedan,20273,1,No,No,External,0,All Perils,No,1
Honda,Urban,Male,53,Policy Holder,Sedan,25954,1,No,No,External,6,All Perils,No,1
Toyota,Rural,Female,28,Policy Holder,Sedan,26768,1,No,No,External,0,All Perils,No,3
Toyota,Urban,Male,40,Policy Holder,Sedan,22765,1,No,No,External,2,All Perils,No,1
