OwnerAge,CarPrice,NumberOfSuppliments,PastNumberOfClaims,AccidentArea_Rural,AccidentArea_Urban,OwnerGender_Female,OwnerGender_Male,Fault_Policy Holder,Fault_Third Party,CarCategory_Sedan,CarCategory_Sport,CarCategory_Utility,PoliceReportFiled_No,PoliceReportFiled_Yes,WitnessPresent_No,WitnessPresent_Yes,AgentType_External,AgentType_Internal,BasePolicy_All Perils,BasePolicy_Collision,BasePolicy_Liability,IsAddressChanged_No,IsAddressChanged_Yes
38,32319,0,2,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
37,24065,2,3,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
41,20827,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
35,26375,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
33,27687,1,5,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
31,25299,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0
34,32718,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
45,26520,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
31,19932,7,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
30,28521,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
48,28167,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
39,23389,1,3,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
31,17633,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
53,25176,2,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
45,36954,2,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
36,27167,7,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
34,24700,3,6,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
27,20398,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
35,33604,0,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
27,20223,2,5,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
35,23107,7,4,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
54,32650,0,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
34,36503,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
25,22450,3,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
28,36126,6,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
38,26312,2,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
40,20317,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
31,24940,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
34,28249,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
49,28223,1,4,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
29,21384,0,3,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0
31,33715,2,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
33,38268,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
43,22780,2,2,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
35,23820,2,4,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
37,20663,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
53,38429,3,3,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
29,37959,0,4,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
49,31120,0,2,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
48,28457,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
33,27380,7,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
31,35415,5,4,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
32,31250,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
49,25032,3,4,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
64,17958,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
39,20090,6,6,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
26,28472,0,4,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
49,24582,2,3,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
44,27690,1,4,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
35,31178,3,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
28,36830,1,5,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
35,23168,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
35,24624,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
38,23546,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
33,31930,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
59,18236,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
28,22816,6,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
24,23616,2,6,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
40,37989,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
37,22836,7,4,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
49,34240,0,6,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
22,38440,2,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0
